text analytics,2008,"Antonio Corral, Manuel Torres, Michael Vassilakopoulos, Yannis Manolopoulos",Predictive Join Processing between Regions and Moving Objects.
text analytics,2008,"Marc Holze, Norbert Ritter",Autonomic Databases: Detection of Workload Shifts with n-Gram-Models.
text analytics,2008,"Sergejus Ivanikovas, Gintautas Dzemyda, Viktor Medvedev",Large Datasets Visualization with Neural Network Using Clustered Training Data.
text analytics,2008,Divyakant Agrawal,The Reality of Real-Time Business Intelligence.
text analytics,2008,"Hoda Mokhtar, Jianwen Su",QUESTO: A Query Language for Uncertain and Exact Spatio-temporal Objects.
text analytics,2008,"David C. Gibbon, Zhu Liu 0001",Introduction to video search engines.
fortran,1976,"Herbert R. Ludwig, Joel M. Noe, Robert A. Chase",Interactive data analysis.
fortran,1976,"Don T. Phillips, Gary L. Hogg","Stochastic network analysis with resource constraints, cost parameters, and queueing capabilities using gerts methodologies."
fortran,1976,A. Alan B. Pritsker,Three simulation approaches to queueing studies using GASP IV.
common gateway interface,1997,"Ronald Schrooten, Walter Van de Velde",Software Agent Foundation for Dynamic Interactive Electronic Catalogs.
relational algebra,1989,"Serafim Dahl, Kjell Lindqvist",Visual programming as an interface between program and user?
wormhole,1994,Guo-Jie Li,NCIC's research and development in parallel processing.
wormhole,1994,"Vipul Gupta, Eugen Schenfeld",Combining message switching with circuit switching in the Interconnection Cached Multiprocessor Network.
wormhole,1994,"Suresh Chalasani, Rajendra V. Boppana",Adaptive fault-tolerant wormhole routing algorithms with low virtual channel requirements.
wormhole,1994,"Chengjiang Lin, Sanli Li",Strategy and simulation of adaptive RID for distributed dynamic load balancing in parallel systems.
parallel computing,1989,"Allen L. Ambler, Margaret M. Burnett",Visual languages and the conflict between single assignment and iteration.
parallel computing,1989,"Sandhya Dwarkadas, J. Robert Jump, James B. Sinclair",Efficient simulation of cache memories.
parallel computing,1989,"Susan J. Eggers, Edward D. Lazowska, Yi-Bing Lin",Techniques for the trace-driven simulation of cache performance.
integrated development environment,1993,"Raj Tewari, Frank L. Friedman",A Framework for Incorporating Object-Oriented Software Engineering in the Undergraduate Curriculum.
cloud computing,2008,Divyakant Agrawal,The Reality of Real-Time Business Intelligence.
cloud computing,2008,Mladen A. Vouk,"Cloud computing - Issues, research and implementations."
functional programming,1988,Jacek Maitan,Management of constraints in VLSI data bases.
phishing,2005,Bogdan Hoanca,"Freedom of silence vs. freedom of speech: technology, law and information security."
batch processing,1977,Robert B. Clark,An integrated planning system in the complex product development and manufacturing environment.
batch processing,1977,Bernard J. Schroer,Economical aspects of a data management system.
batch processing,1977,"K. Y. Chiu, J. F. Wall",Online inventory analysis models and system.
endianness,2008,"Masafumi Kusakawa, Harunaga Hiwatari, Tomoyuki Asano, Seiichi Matsuda",Efficient Dynamic Broadcast Encryption and Its Extension to Authenticated Dynamic Broadcast Encryption.
endianness,2008,Yu Zhang,An Open Framework for Remote Electronic Elections.
endianness,2008,"Raylin Tso, Xun Yi, Xinyi Huang",Efficient and Short Certificateless Signature.
endianness,2008,"Julien Bringer, Herv Chabanne, Thomas Icart","Cryptanalysis of EC-RAC, a RFID Identification Protocol."
random access memory,1992,"Mitsuru Maruyama, Hiroaki Sakamoto, Yutaka Ishibashi, Kazutoshi Nishimura",High-speed hardware architecture for high-definition videotex system.
chuck norris,2009,"Daniel Cuadrado, Yago Sez",Chuck Norris rocks!
malware,2004,"William T. O'Shea, Jeffrey M. Jaffe","Letter from President, Bell Labs, and President, Bell Labs Advanced Technologies."
malware,2004,Richard G. Epstein,Software development as spiritual metaphor.
microservices,2002,Andreas D. Baxevanis,The Molecular Biology Database Collection: 2002 update.
bulk loading,2004,"Pat McNally, Cathal Heavey",Developing simulation as a desktop resource.
shebang,2009,"Emerson Ribeiro de Mello, Michelle S. Wangham, Joni da Silva Fraga, Edson T. de Camargo, Davi da Silva Bger",A Model for Authentication Credentials Translation in Service Oriented Architecture.
shebang,2009,"Subhendu Aich, Samrat Mondal, Shamik Sural, Arun K. Majumdar",Role Based Access Control with Spatiotemporal Context for Mobile Applications.
shebang,2009,"Hind Rakkay, Hanifa Boucheneb",Security Analysis of Role Based Access Control Models Using Colored Petri Nets and CPNtools.
shebang,2009,"Brijesh Kumar Chaurasia, Shekhar Verma, G. S. Tomar, Ajith Abraham",Optimizing Pseudonym Updation in Vehicular Ad-Hoc Networks.
shebang,2009,"Jaydeb Bhaumik, Dipanwita Roy Chowdhury",An Integrated ECC-MAC Based on RS Code.
garbage collector,1998,"Frantisek Plasil, Michael Stal","An architectural view of distributed objects and components in CORBA, Java RMI and COM/DCOM."
garbage collector,1998,Clemens A. Szyperski,Emerging component software technologies - a strategic comparison.
compiler,1976,"Herbert R. Ludwig, Joel M. Noe, Robert A. Chase",Interactive data analysis.
compiler,1976,A. Alan B. Pritsker,Three simulation approaches to queueing studies using GASP IV.
decision tree,1989,"Stephen D. Roberts, Mary Ann Flanigan Wagner",Simulation modeling and analysis with INSIGHT: a tutorial.
decision tree,1989,Hua Li,Two-stage strategy for motion parameter estimation in dynamic images.
segmentation fault,2006,"Michael A. Wirth, Peter Kovesi",MATLAB as an introductory programming language.
virtual private network,1999,"Divine T. Ndumu, Hyacinth S. Nwana, Lyndon C. Lee, Haydn R. Haynes",Visualization and Debugging of Distributed Multiagent Systems.
pseudolanguage,2006,"Yang Zheng, Guanrong Liu, Xiaoxiao Niu",An improved fractal image compression approach by using iterated function system and genetic algorithm.
deep web,2008,"Damir Juric, Marko Banek, Zoran Skocir",Uncovering the Deep Web: Transferring Relational Database Content and Metadata to OWL Ontologies.
lexical analysis,1990,"Gennaro Costagliola, Shi-Kuo Chang",DR PARSERS: a generalization of LR parsers.
neural network,1989,Paul A. Fishwick,Neural network models in simulation: a comparison with traditional modeling approaches.
operator associativity,2015,Salvatore Distefano,Dependability assessment of critical systems.
entropy,1977,"M. Sadek Eid, Hamed Kamal Eldin",Evaluation of risk in investment alternatives.
web graph,1998,"Paul Shabajee, Stuart Hannabuss, Ian Tilsed",Book Reviews.
