,tag,year,authors,title
91,search engine optimization,2010,"Damiano Distante, Michele Risi, Giuseppe Scanniello",Extending Web Content Management Systems Navigation Capabilities with Semantic Navigation Maps.
307,segmentation fault,2006,"Michael A. Wirth, Peter Kovesi",MATLAB as an introductory programming language.
299,shebang,2009,"Brijesh Kumar Chaurasia, Shekhar Verma, G. S. Tomar, Ajith Abraham",Optimizing Pseudonym Updation in Vehicular Ad-Hoc Networks.
296,shebang,2009,"Emerson Ribeiro de Mello, Michelle S. Wangham, Joni da Silva Fraga, Edson T. de Camargo, Davi da Silva Bger",A Model for Authentication Credentials Translation in Service Oriented Architecture.
298,shebang,2009,"Hind Rakkay, Hanifa Boucheneb",Security Analysis of Role Based Access Control Models Using Colored Petri Nets and CPNtools.
300,shebang,2009,"Jaydeb Bhaumik, Dipanwita Roy Chowdhury",An Integrated ECC-MAC Based on RS Code.
297,shebang,2009,"Subhendu Aich, Samrat Mondal, Shamik Sural, Arun K. Majumdar",Role Based Access Control with Spatiotemporal Context for Mobile Applications.
148,social graph,2008,"Norbert E. Fuchs, Kaarel Kaljurand, Tobias Kuhn",Attempto Controlled English for Knowledge Representation.
147,social graph,2008,"Sheila Kinsella, John G. Breslin, Alexandre Passant, Stefan Decker",Applications of Semantic Web Methodologies and Techniques to Social Networks and Social Websites.
149,social graph,2008,"Steffen Staab, Ansgar Scherp, Richard Arndt, Raphal Troncy, Marcin Grzegorzek, Carsten Saathoff, Simon Schenk, Lynda Hardman",Semantic Multimedia.
82,software development kit,1992,"J. J. Birchman, Steven L. Tanimoto",An Implementation of the VIVA Visual Language on the NeXT Computer.
255,source code,1987,"Jay Liebowitz, Patricia Lightfoot",Expert scheduling systems: Survey and Preliminary design concepts.
183,spam,1987,Hiroakira Ono,Reflection Principles in Fragments of Peano Arithmetic.
205,spoofing,1998,Alessandro Lofaro,The cultural factor in information warfare.
247,sql,1976,Alan Rose,Formalisations With Non-Standard Degrees of Completeness.
210,ssl,1976,A. Alan B. Pritsker,Three simulation approaches to queueing studies using GASP IV.
208,ssl,1976,John Case,Sortability and Extensibility of the Graphs of Recursively Enumerable Partial and Total Orders.
209,ssl,1976,Thomas G. McLaughlin,Trees and Isols II.
132,structured data,1987,"Cristina Sernadas, Helder Coelho, Graa Gaspar",Communication knowledge systems: Part I - Big talk among small systems.
131,structured data,1987,"Stefano A. Cerri, P. Landini, M. Leoncini",Cooperative agents for knowledge-based information systems: Dialogue about the archeology.
260,text analytics,2008,"Antonio Corral, Manuel Torres, Michael Vassilakopoulos, Yannis Manolopoulos",Predictive Join Processing between Regions and Moving Objects.
265,text analytics,2008,"David C. Gibbon, Zhu Liu 0001",Introduction to video search engines.
263,text analytics,2008,Divyakant Agrawal,The Reality of Real-Time Business Intelligence.
257,text analytics,2008,"Frank Wagner 0002, Kathleen Krebs, Cataldo Mega, Bernhard Mitschang, Norbert Ritter",Towards the Design of a Scalable Email Archiving and Discovery Solution.
258,text analytics,2008,Heikki Mannila,Randomization Techniques for Data Mining Methods.
264,text analytics,2008,"Hoda Mokhtar, Jianwen Su",QUESTO: A Query Language for Uncertain and Exact Spatio-temporal Objects.
261,text analytics,2008,"Marc Holze, Norbert Ritter",Autonomic Databases: Detection of Workload Shifts with n-Gram-Models.
259,text analytics,2008,"Mats Ondreicka, Jaroslav Pokorn",Extending Fagin's Algorithm for More Users Based on Multidimensional B-Tree.
262,text analytics,2008,"Sergejus Ivanikovas, Gintautas Dzemyda, Viktor Medvedev",Large Datasets Visualization with Neural Network Using Clustered Training Data.
152,trojan horse,2002,"Brian Scottberg, William Yurcik, David Doss",Internet honeypots: protection or entrapment?
150,trojan horse,2002,"Paul Sijben, Willem van Willigenburg, Michel de Boer, Sietse van der Gaast",Middleboxes: Controllable media firewalls.
151,trojan horse,2002,"Vikas Jayaswal, William Yurcik, David Doss",Internet hack back: counter attacks as self-defense or vigilantism?
133,unix,1987,Bernard R. Bachmann,Expert systems connectivity.
134,unix,1987,Julia Rose Galliers,"AI for special needs - an \intelligent\"" communication aid for bliss users."""
135,unix,1987,"Stefano A. Cerri, P. Landini, M. Leoncini",Cooperative agents for knowledge-based information systems: Dialogue about the archeology.
101,user interface,1977,H. F. Martin,The prospects of computers in the future.
223,virtual machine,1991,Aaron Sloman,The explanatory role of mental states.
222,virtual machine,1991,Robert Balzer,Process virtual machine.
308,virtual private network,1999,"Divine T. Ndumu, Hyacinth S. Nwana, Lyndon C. Lee, Haydn R. Haynes",Visualization and Debugging of Distributed Multiagent Systems.
216,virus,1977,"A. J. Bell, N. Hardman",Characterization of foldback sequences in hamster DNA using electron microsocpy.
217,virus,1977,"K. E. Hastings, S. Millward",5' Terminal noncoding sequence heterogeneity in reovirus mRNA.
215,virus,1977,"K. Henco, Detlev Riesner, H. L. Sanger",Conformation of viroids.
218,virus,1977,"U. Lavi, R. Fernandez-Munoz, J. E. Darnell Jr.",Content of N-6 methyl adenylic acid in heterogeneous nuclear and messenger RNA of HeLa cells.
250,vlsi,1976,"Herbert R. Ludwig, Joel M. Noe, Robert A. Chase",Interactive data analysis.
315,web graph,1998,"Paul Shabajee, Stuart Hannabuss, Ian Tilsed",Book Reviews.
62,worm,1977,Robert B. Clark,An integrated planning system in the complex product development and manufacturing environment.
274,wormhole,1994,"Chengjiang Lin, Sanli Li",Strategy and simulation of adaptive RID for distributed dynamic load balancing in parallel systems.
271,wormhole,1994,Guo-Jie Li,NCIC's research and development in parallel processing.
273,wormhole,1994,"Suresh Chalasani, Rajendra V. Boppana",Adaptive fault-tolerant wormhole routing algorithms with low virtual channel requirements.
272,wormhole,1994,"Vipul Gupta, Eugen Schenfeld",Combining message switching with circuit switching in the Interconnection Cached Multiprocessor Network.
65,xml,1980,Anita Wasilewska,On the Gentzen Type Formalizations.
177,xpath,1990,John T. Stasko,Simplifying Algorithm Animation with TANGO.
117,zero day,2007,Carlos C. Solari,Designing for security.
113,zero day,2007,"Daniel J. Martnez-Manzano, Manuel Gil Prez, Gabriel Lpez Milln, Antonio Fernandez Gmez-Skarmeta",A Proposal for the Definition of Operational Plans to Provide Dependability and Security.
118,zero day,2007,"Davide Cerotti, Daniele Codetta Raiteri, Susanna Donatelli, Claudio Brasca, Giovanna Dondossola, Fabrizio Garrone",UML Diagrams Supporting Domain Specification Inside the CRUTIAL Project.
119,zero day,2007,"Gabriel Maci-Fernndez, Jess E. Daz-Verdejo, Pedro Garcia-Teodoro, Francisco de Toro-Negro",LoRDAS: A Low-Rate DoS Attack against Application Servers.
115,zero day,2007,"Georgios Kambourakis, Tassos Moschos, Dimitris Geneiatakis, Stefanos Gritzalis",Detecting DNS Amplification Attacks.
114,zero day,2007,"John Mallios, Stelios Dritsas, Bill Tsoumas, Dimitris Gritzalis",Attack Modeling of SIP-Oriented SPIT.
116,zero day,2007,"Roberto Setola, Stefano De Porcellinis",A Methodology to Estimate Input-Output Inoperability Model Parameters.
112,zero day,2007,"Stephan Schmidt 0001, Tansu Alpcan, Sahin Albayrak, Tamer Basar, Achim Mller",A Malware Detector Placement Game for Intrusion Detection.
120,zero day,2007,"Wayne F. Boyer, Miles A. McQueen",Ideal Based Cyber Security Technical Metrics for Control Systems.
211,zombie,1995,"Julie Vonwiller, Inge Rogers, Christopher Cleirigh, Wendy Lewis",Speaker and Material Selection for the Australian National Database of Spoken Language.
